contentid,relaAcdntRiskMtr,acmpyTypeCd,relaPosesFclty,relaFrnshPrdlst,etcAcmpyInfo,relaPurcPrdlst,acmpyPsblCpam,relaRntlPrdlst,acmpyNeedMtr
125717,,일부구역 동반가능,"덕산항, 스포츠 센터",,"해수욕장 개장 기간에는 반려견 동반이 제한될 수 있습니다. 반려견 인식표 및 리드 줄, 입마개 필수입니다. 반려견 배변 시 보호자가 배변봉투, 물티슈 등 지참 후 즉시 처리하여야 합니다.\n *반려견 동반 운영 정책은 현지 사정에 따라 변동 될 수 있습니다.",,,,"입마개 착용,목줄 착용,기타"
125720,,전구역 동반가능,,,"해수욕장 개장 외 기간에만 반려견 동반 가능\n 반려견 인식표 필수\n  배변봉투 지참 및 배변처리 필수\n 맹견의 경우, 입마개 착용 필수\n *반려견 동반 운영 정책은 현지 사정에 따라 변동 될 수 있습니다.",,전 견종 동반 가능,,"입마개 착용,목줄 착용"
125732,,일부구역 동반가능,,,"캠핑장 내부는 동반 불가\n 맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
125777,없음,일부구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
125779,,전구역 동반가능,,,"반려견 동반 운영 정책은 사정에 따라 변동 될 수 있음\n 맹견의 경우, 입마개 착용 필수\n 인식표 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
125782,,전구역 동반가능,,,"맹견 및 10kg 이상 대형견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,입마개 착용
125801,,일부구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,"입마개 착용,목줄 착용,기타"
125804,,일부구역 동반가능,,,"실내 시설은 동반 불가\n 맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
125810,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
125817,,일부구역 동반가능,,,"산책로 이용 불가\n 체류형 시설(동학사 야영장 2동 (하우스5, 하우스6)) 에만 이용 가능\n 반려견 동반 예약자 분들께서는 입장시 국립공원 직원에게 반려견 등록증 및 인식표, 최근 1년이내 광견병 등 예방접종 확인서 제시",,"최근 1년이내 광견병 접종(증빙서류 필요) 을 완료한 등록된 반려견만 입장 가능(단, 맹견은 입장제한 )",,
125841,,일부구역 동반가능,,,"해수욕장은 자유롭게 이동 가능하나, 입수는 불가\n 맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
125842,,일부구역 동반가능,야외샤워시설,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
125847,,일부구역 동반가능,,,"물닭섬 둘레길은 동반 불가\n 맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
125858,,일부구역 동반가능,,,"족욕장 등 일부 시설은 동반 불가\n 맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
125870,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
125872,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
125875,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
125973,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
125984,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126001,,일부구역 동반가능,,,"민박 시설은 동반 불가\n 맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126010,,전구역 동반가능,,,"맹견과 대형견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,맹견 제외 전 견종 동반 가능,,목줄 착용
1260275,,일부구역 동반가능,주차장,,"시장 내 업소 별 상이 / 반려견 인식표 및 리드 줄, 입마개 필수입니다. 반려견 배변 시 보호자가 배변봉투, 물티슈 등 지참 후 즉시 처리하여야 합니다.\n *반려견 동반 운영 정책은 현지 사정에 따라 변동 될 수 있습니다.",,,,"입마개 착용,목줄 착용,기타"
126064,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126078,,일부구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126079,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126080,,일부구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126081,,일부구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126084,,전구역 동반가능,,,"해수욕장 개장 기간에는 안전상의 이유로 입수가 제한될 수 있음\n 맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126119,,일부구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,"입마개 착용,목줄 착용"
126122,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126125,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126128,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126132,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126133,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126134,,일부구역 동반가능,,,배변봉투 지참 및 배변처리 필수,,전 견종 동반 가능,,목줄 착용
126141,,일부구역 동반가능,,,,,,,
126143,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126166,,일부구역 동반가능,,,배변봉투 지참 및 배변처리 필수\n 불국사 사찰 내부의 경우 반려동물 동반 입장 제한\n 불국사 인근의 불국공원의 경우 반려동물과 함께 산책 가능,,전 견종 동반 가능,,목줄 착용
126218,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126230,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126245,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126257,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126313,,일부구역 동반가능,,,"실외는 목줄 착용 시 자유롭게 이동 가능\n 실내는 동반 불가\n 맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126322,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126324,,일부구역 동반가능,,,"실내 시설은 동반 불가\n 맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126325,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126374,,일부구역 동반가능,,,정자 시설은 동반 불가\n 배변봉투 지참 및 배변처리 필수,,맹견 제외 소형견 동반 가능(상세 기준 사전 확인 필요),,목줄 착용
126375,,일부구역 동반가능,,,"실내 미술관은 동반 불가\n 맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,"전 견종 출입 가능(맹견의 경우, 입마개 착용 필수)",,목줄 착용
126419,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126441,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126448,,일부구역 동반가능,,,"해수욕장 입수는 불가\n 맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126450,,일부구역 동반가능,,,배변봉투 지참 및 배변처리 필수,,4kg 이하 동반 가능(이동장 이용 필수),,"목줄 착용,반려동물 유모차 탑승,이동장(켄넬)사용"
126455,"훈련사 또는 직원 상시대기,응급키트 구비",일부구역 동반가능,,,배변봉투 지참 및 배변처리 필수,,6kg 이하 동반 가능,,목줄 착용
126464,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126471,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126479,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126499,,일부구역 동반가능,반려견 목줄 거치대(공원 내 화장실 앞),,배변봉투 지참 및 배변처리 필수,,전 견종 동반 가능,,"입마개 착용,목줄 착용"
126515,없음,일부구역 동반가능,,,배변봉투 지참 및 배변처리 필수,,9kg 이하 동반 가능,,목줄 착용
126532,,일부구역 동반가능,,,"실내 시설은 동반이 제한될 수 있음\n 맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126537,,일부구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126547,,일부구역 동반가능,,,"열차 이용 시 이동장 필수\n 맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,"목줄 착용,이동장(켄넬)사용"
126570,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126577,,전구역 동반가능,,,목줄 2m 이내 필수\n 배변봉투 지참 및 배변처리 필수,,맹견 제외 전 견종 동반 가능,,목줄 착용
126627,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126644,,일부구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,"목줄 착용,반려동물 유모차 탑승,이동장(켄넬)사용,매너벨트 착용"
126658,,일부구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126669,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126674,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126695,,일부구역 동반가능,,,"반려견 동반 바다 입수 가능\n 목줄 착용 후 해변가 산책 가능\n 맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126701,,일부구역 동반가능,,,이동장(켄넬) 안에 반려동물 몸 전체가 모두 들어가야 동반 가능,,이동장(켄넬)에 들어가는 전 견종 동반 가능,,이동장(켄넬)사용
126719,,일부구역 동반가능,,,실내시설 및 놀이시설 동반 불가\n 배변봉투 지참 및 배변처리 필수,,10kg 이하 동반 가능,,"목줄 착용,반려동물 유모차 탑승,이동장(켄넬)사용"
126720,,전구역 동반가능,,,승선 시 이동장(켄넬) 사용 필수\n 이동장(켄넬) 안에 반려동물 몸 전체가 모두 들어가야 동반 가능,,이동장(켄넬)에 들어가는 전 견종 동반 가능,,"목줄 착용,이동장(켄넬)사용"
126730,,일부구역 동반가능,주차장 인근 반려동물 놀이터,,순천만습지는 동반 불가\n 주차장 인근 반려견 놀이터 동반 가능,,전 견종 동반 가능,,기타
126742,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126745,반려견보호자 서약서 서명,일부구역 동반가능,"펜스,운동장",,배변봉투 지참 및 배변처리 필수,,맹견 제외 15kg 이하 예방 접종 완료한 전 견종 동반 가능,,"목줄 착용,매너벨트 착용"
126747,,일부구역 동반가능,,,"가옥 안쪽은 동반 불가\n 맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126749,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126776,,전구역 동반가능,,,배변봉투 지참 및 배변처리 필수,,전 견종 동반 가능,,"목줄 착용,기타"
126799,응급키트 구비,일부구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126834,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126838,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126848,,일부구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126887,,일부구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,"입마개 착용,목줄 착용,기타"
126894,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
126943,,일부구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
127040,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
127096,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
127131,,일부구역 동반가능,,,"기념관 내부 시설은 시각 안내견만 동반 가능\n 맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
127140,,일부구역 동반가능,기암괴석,,"반려견 인식표 및 리드 줄, 입마개 필수입니다. 반려견 배변 시 보호자가 배변봉투, 물티슈 등 지참 후 즉시 처리하여야 합니다.",,,,"입마개 착용,목줄 착용,기타"
127141,,일부구역 동반가능,3단 폭포,,"반려견 인식표 및 리드 줄, 입마개 필수입니다. 반려견 배변 시 보호자가 배변봉투, 물티슈 등 지참 후 즉시 처리하여야 합니다.\n *반려견 동반 운영 정책은 현지 사정에 따라 변동 될 수 있습니다.",,,,"입마개 착용,목줄 착용,기타"
127171,반려인을 대상으로 관련 각서를 받음,일부구역 동반가능,반려견 놀이터,,배변봉투 지참 및 배변처리 필수,,맹견 제외 15kg 이하 예방 접종 완료한 전 견종 동반 가능,,"입마개 착용,목줄 착용"
127197,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
127220,,일부구역 동반가능,,,"둘레길 10 내시묘역길 일부 구간(서울북한산 초등학교~백화사), 무장애탐방로 구간(안내센터~공중화장실)만 허용\n 국립공원예약사이트에 반려견 동반 입장 예약 후 현장 안내센터 체크 인(Check-in) 확인",,"최근 1년이내 광견병 접종(증빙서류 필요) 을 완료한 등록된 반려견만 입장 가능(단, 맹견은 입장제한)",,목줄 착용
127291,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
127311,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
127372,,전구역 동반가능,"어질리티, 배변공간, 음수대",,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
127466,,일부구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
127476,,일부구역 동반가능,,,"소형견은 동반 가능하나, 중형견의 경우 사전 문의를 통해 동반 가능 여부 확인 필요\n 승선 시 반려동물 유모차나 이동장(켄넬)사용 필수\n 맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,"반려동물 유모차 탑승,이동장(켄넬)사용"
127487,,일부구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
127492,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
127515,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
127542,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
127547,,전구역 동반가능,,,"해수욕장 개장 기간에는 혼잡도에 따라 동반이 불가할 수 있음\n 맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
127570,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
127614,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
127617,,일부구역 동반가능,"잔디밭 공원, 야외공연장, 분수대, 조각공원, 자전거전용도로, 산책로화장실, 다양한 편의시설",,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,"입마개 착용,목줄 착용,기타"
127627,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
127644,,일부구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
127664,,전구역 동반가능,,,별도의 쓰레기 처리 시설이 없으므로 배변봉투 지참 및 수거 필수,,"전 견종 출입 가능(맹견의 경우, 입마개 착용 필수)",,목줄 착용
127695,"훈련사 또는 직원 상시대기, 긴급전화 운영, 응급키트 구비, 이용방법 및 규칙 비치",일부구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,"입마개 착용,목줄 착용"
127696,,일부구역 동반가능,,,"시설(캠핑장, 야영장, 수영장, 썰매장 등)은 동반 불가",,전 견종 동반 가능,,목줄 착용
127710,,전구역 동반가능,,,"맹견의 경우, 입마개 착용 필수\n 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용
