contentid,contenttypeid,serialnum,infoname,infotext,fldgubun
2745718,28,0,이용요금,"[비수기]<br> - 월요일~목요일 40,000원~50,000원<br> - 금요일~일요일 50,000원~60,000원<br> [성수기] 60,000원~70,000원<br> ※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",3
2747957,28,0,코스안내,- 거리 : 약 17.1km <br> - 라이딩 소요시간 약 51분<br> - 구간 : 미시령옛길 -> 울산바위전망대 -> 강원도 세계 잼버리수련원장 -> 청간정,1
2748011,28,0,코스안내,거리 : 약16.2Km<br> 라이딩 소요시간 : 약49분<br> 구간 : 청간정 -> 백도해변 -> 송지호관망타워 -> 공현진해변,1
2748045,28,0,코스안내,[코스]<br> - 거리 : 약17.9Km<br> - 라이딩 소요시간 약46분<br> - 도보 : 4시간 30분 <br> - 구간 : 공현진해변 > 가진항 > 북천철교 쉼터 > 거진항,1
2748069,28,0,코스안내,"거리 : 약12.3Km, 라이딩 소요시간 약37분, 구간 : 거진항 -> 대진항 -> 명파해변 -> 통일전망대",1
2748089,28,0,코스안내,길이 : 10km<br> 라이딩 소요시간 : 약 30분<br> 구간 : 화진포둘레길 입구 - 이승만대통령기념관 - 대진고교 앞 - 화진포 해양박물관 - 화진포의성(김일성별장)<br>,1
2748089,28,1,이용요금,무료,3
2753110,28,0,이용요금,"- 캠핑장 40,000원<br> - 일반객실 80,000원~120,000원<br> - ※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",3
2776862,28,0,이용요금,없음,3
2782478,28,0,코스안내,관람소요시간 : 약 5시간,1
2782478,28,1,이용요금,무료,3
2782486,28,0,코스안내,관람소요시간 : 약 5시간,1
2782486,28,1,이용요금,무료,3
2782509,28,0,코스안내,관람소요시간 : 약 3시간 30분,1
2782509,28,1,이용요금,무료,3
2792202,28,0,포인트안내,,1
2792202,28,1,이용요금,"30,000원~50,000원<br>※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",3
2792202,28,2,주요시설,"온수, 마트, 편의점<br>소화기 구비",4
2907911,28,0,이용요금,"[성수기]<br> - 돔하우스 190,000원<br> - 데크 60,000원<br> [비수기]<br> - 돔하우스 90,000원~130,000원<br> - 데크 40,000원~50,000원<br> ※ 자세한 사항은 홈페이지 참조",3
2907961,28,0,이용요금,"[성수기] 70,000원<br> [비수기]<br> - 일요일~목요일 50,000원<br> - 주말·법정공휴일 60,000원<br> ※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",3
2907986,28,0,이용요금,"50,000~70,000원<br> *이용요금은 예약 시 문의",3
2907986,28,1,부대시설,운동시설,4
2912932,28,0,이용요금,"40,000원~",3
2912932,28,1,주요시설,"캠핑 사이트(12), 카라반(3), 단체룸(4), 돔(2)",4
2912932,28,2,부대시설,"족구장, 세미나실, 편의점 등",4
3022829,28,0,이용요금,전화문의,3
3022829,28,1,체험프로그램,울산바위 포인트 다이브 / 사각어초 포인트 다이브 / 금강산 포인트 다이브,3
3022829,28,2,주요시설,천학정다이브리조트 : 숙소 / 식당 / 샤워장,4
3022829,28,3,부대시설,천학정 본진 : 실외 샤워기 / 장비셋팅장,4
3065391,28,0,이용요금,"- 싱글탱크 비치다이빙 50,000원<br> - 싱글탱크 보트다이빙 60,000원<br> - 장비렌탈 풀 세트 50,000원<br> - 장비렌탈 스쿠버 세트 45,000원<br> ※ 자세한 사항은 전화 문의 요망",3
3082541,28,0,이용요금,"- 싱글탱크 비치다이빙 40,000원<br> - 싱글탱크 보트다이빙 50,000원<br> - 더블탱크 비치다이빙 40,000원<br> - 더블탱크 보트다이빙 60,000원<br> - 체험다이빙 1인 100,000원",3
3082541,28,1,체험프로그램,싱글탱크 비치다이빙 / 싱글탱크 보트다이빙 / 더블탱크 비치다이빙 / 더블탱크 보트다이빙 / 체험다이빙,3
3082541,28,2,부대시설,간이 샤워실 / 탈의실 / 드라이기 이용가능,4
3445907,28,0,코스안내,고성통일전망대 → 해안전망대 → 통전터널 → 남방한계선,1
762715,28,0,이용요금,"[통나무집]<br> - 주중 50,000원 / 주말 60,000원 / 성수기 80,000원<br> [오토캠핑장(기본)]<br> - 주중 40,000원 / 주말 50,000원 / 성수기 60,000원<br> [오토캠핑장(2층)]<br> - 주중 80,000원 / 주말 100,000원 / 성수기 120,000원<br> ※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",3
762715,28,1,할인정보,"다음 각 호의 어느 하나에 해당하는 때에는 시설이용료를 20% 감면받을 수 있습니다.<br> 1. 고성군에 주민등록이 되어있는 사람 : <br> 주민등록증, 주민등록 등본 및 초본<br> 2. 「장애인복지법」제2조에 따른 장애인 : <br> 장애인등록증, 장애인증명서<br> 3. 「국가유공자 등 예우 및 지원에 관한 법률」제4조에 따른 <br> 국가유공자 : 국가유공자증<br> 4. 「국민기초생활 보장법」제2조에 따른 수급자 : 수급자 증명서<br> 5. 「한부모가족지원법」제4조에 따른 한부모가족 : 한부모가족 증명서<br> ※ 자세한 사항은 홈페이지 참고",3
762715,28,2,참고사항,"※ 캠핑장 사용 전 반드시 관리사무실에 내방 이용권 발매(예약자 확인)후 이용<br /> ※ 성수기에는 전력수급 관계로 인하여 텐트를 제외한 캠핑카, 캐라반 등은 이용통제<br /> ※ 텐트 · 파라솔은 대여하지 않음<br /> ※ 장작사용 금지, 반려동물 출입금지",3
762715,28,3,주요시설,"통나무집 (10개)<br> 오토캠핑장데크 (90개, 방부목 데크)",4
