addr1,addr2,zipcode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,eventstartdate,eventenddate,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,areacode,sigungucode,tel,title,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3,progresstype,festivaltype
서울특별시 강동구 올림픽로 875 (암사동),,5239,A02,A0207,A02070200,1307813,15,2.01106E+13,20251017,20251019,http://tong.visitkorea.or.kr/cms/resource/77/3541977_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/3541977_image3_1.jpg,Type3,127.1306157,37.5591134,6,2.02509E+13,1,2,02-3425-5240,강동선사문화축제,11,740,EV,EV01,EV010400,선택안함,선택안함
강원특별자치도 강릉시 임영로131번길 6,강릉대도호부관아,25534,A02,A0207,A02070200,2541883,15,2.01804E+13,20250814,20250816,http://tong.visitkorea.or.kr/cms/resource/77/3317777_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/3317777_image3_1.jpg,Type3,128.8921226,37.75327674,6,2.02507E+13,32,1,033-823-3212,강릉 국가유산 야행,51,150,EV,EV01,EV010200,선택안함,선택안함
강원특별자치도 강릉시 단오장길 1,,25586,A02,A0207,A02070200,531391,15,2.00804E+13,20250527,20250603,http://tong.visitkorea.or.kr/cms/resource/54/3484354_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/3484354_image3_1.jpg,Type3,128.895017,37.7482135,6,2.02503E+13,32,1,033-641-1593,강릉단오제,51,150,EV,EV01,EV010400,선택안함,선택안함
강원특별자치도 강릉시 강문동,산1 강릉 경포해변 중앙광장,25556,A02,A0207,A02070200,2607445,15,2.01906E+13,20250627,20250629,http://tong.visitkorea.or.kr/cms/resource/43/2607443_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/43/2607443_image2_1.JPG,Type3,128.9080113,37.80549324,6,2.02506E+13,32,1,010-6285-8138,강릉비치비어페스티벌,51,150,EV,EV01,EV010200,선택안함,선택안함
강원특별자치도 강릉시 창해로14번길 20-1 (견소동),,25556,A02,A0207,A02070100,825295,15,2.0091E+13,20251030,20251102,http://tong.visitkorea.or.kr/cms/resource/24/3546224_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/24/3546224_image3_1.JPG,Type3,128.9473365,37.77266447,6,2.0251E+13,32,1,033-647-6802,강릉커피축제,51,150,EV,EV01,EV010100,선택안함,선택안함
강원특별자치도 강릉시 송정동,산 1번지 송정해변 일원,25556,A02,A0207,A02070200,3493120,15,2.02505E+13,20250607,20250608,http://tong.visitkorea.or.kr/cms/resource/17/3493117_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/3493117_image3_1.jpg,Type3,128.9284433,37.78714576,6,2.02505E+13,32,1,033-643-9959,강릉해양레저 펫가족 힐링페스티벌,51,150,EV,EV01,EV010500,,
서울특별시 강북구 월계로 173 (번동),북서울꿈의숲,1228,A02,A0207,A02070200,3114696,15,2.02404E+13,20250503,20250503,http://tong.visitkorea.or.kr/cms/resource/55/3487455_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/3487455_image3_1.jpg,Type3,127.044544,37.61972425,6,2.02504E+13,1,3,02-554-9795,강북구 어린이날 대축제,11,305,EV,EV01,EV010200,,
서울특별시 강북구 도봉로76가길 55 (미아동),성신여자대학교 운정그린캠퍼스,1133,A02,A0207,A02070200,3354973,15,2.02408E+13,20250927,20250927,http://tong.visitkorea.or.kr/cms/resource/50/3539950_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/3539950_image3_1.jpg,Type3,127.0274175,37.6321225,6,2.02509E+13,1,3,02-901-2503,강북청소년축제 강추,11,305,EV,EV01,EV010200,선택안함,선택안함
서울특별시 강서구 우장산로 66 (내발산동),,7684,A02,A0207,A02070200,3489679,15,2.02505E+13,20250524,20250524,http://tong.visitkorea.or.kr/cms/resource/73/3489673_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/73/3489673_image3_1.JPG,Type3,126.8436392,37.55348946,6,2.02505E+13,1,4,02-2600-6970,강서 아이들 까치까치 페스티벌,11,500,EV,EV01,EV010200,,
서울특별시 강서구 강서로5길 50 (화곡동),,7781,A02,A0207,A02070200,3489706,15,2.02505E+13,20250524,20250524,http://tong.visitkorea.or.kr/cms/resource/01/3489701_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/3489701_image3_1.jpg,Type3,126.84892,37.52910628,6,2.02505E+13,1,4,02-2600-6763<br>02-2606-2017,강서구 다문화축제,11,500,EV,EV01,EV010200,,
서울특별시 강서구 금낭화로 178 (방화동),방화근린공원,7508,A02,A0207,A02070200,3483016,15,2.02503E+13,20250412,20250412,http://tong.visitkorea.or.kr/cms/resource/06/3483006_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/3483006_image3_1.jpg,Type3,126.8146356,37.58108851,6,2.02503E+13,1,4,02-2600-6634,강서봄빛페스타,11,500,EV,EV01,EV010200,,
서울특별시 강서구 방화동,176 방화근린공원,7614,A02,A0207,A02070200,3487939,15,2.02504E+13,20250503,20250503,http://tong.visitkorea.or.kr/cms/resource/19/3495419_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/3495419_image3_1.jpg,Type3,126.8132079,37.58169953,6,2.02506E+13,1,4,02-2600-6975,강서어린이 동화축제,11,500,EV,EV01,EV010200,,
강원특별자치도 홍천군 홍천읍 태학여내길 27,홍천 종합운동장 주차장,25126,A02,A0207,A02070200,2597638,15,2.01904E+13,20250503,20250505,http://tong.visitkorea.or.kr/cms/resource/99/3301599_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/3301599_image3_1.jpg,Type3,127.9048299,37.70794091,6,2.02505E+13,32,16,033-439-5800,강원n 홍천 산나물축제,51,720,EV,EV01,EV010300,선택안함,선택안함
서울특별시 성동구 뚝섬로13길 36 (성수동2가),"1층, R층, 8층",4785,A02,A0208,A02081300,3470412,15,2.02501E+13,20250204,20250212,http://tong.visitkorea.or.kr/cms/resource/99/3470399_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/3470399_image3_1.jpg,Type3,127.0580978,37.5413336,6,2.02501E+13,1,16,070-7841-7696,강원관광두레 팝업스토어,11,200,EV,EV03,EV030400,선택안함,선택안함
강원특별자치도 춘천시 시청길 11 (옥천동),춘천시청 앞 호반광장,24347,A02,A0207,A02070200,3114721,15,2.02404E+13,20250613,20250615,http://tong.visitkorea.or.kr/cms/resource/54/3495954_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/3495954_image3_1.jpg,Type3,127.7293935,37.88105086,6,2.02506E+13,32,13,033-242-1825,강원한우데이,51,110,EV,EV01,EV010300,,
제주특별자치도 서귀포시 이어도로 669 (강정동),,63564,A02,A0207,A02070200,3333177,15,2.02407E+13,20250613,20250615,http://tong.visitkorea.or.kr/cms/resource/27/3492627_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/3492627_image3_1.jpg,Type3,126.4870795,33.23454519,6,2.02505E+13,39,3,010-4749-3790,강정마을 생태축제,50,130,EV,EV01,EV010500,,
경상남도 함안군 강주4길 16,강주마을,52059,A02,A0207,A02070200,2755016,15,2.0211E+13,20250618,20250706,http://tong.visitkorea.or.kr/cms/resource/70/3497270_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/3497270_image3_1.jpg,Type3,128.3322314,35.32086884,6,2.02507E+13,36,19,010-4452-3452,강주해바라기 축제,48,730,EV,EV01,EV010500,선택안함,선택안함
전라남도 강진군 대구면 청자촌길 33,전라병영성 일원,59263,A02,A0207,A02070200,3486674,15,2.02504E+13,20250418,20250420,http://tong.visitkorea.or.kr/cms/resource/64/3486664_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/3486664_image3_1.jpg,Type3,126.8009781,34.50788091,6,2.02504E+13,38,1,061-430-3352,강진 전라병영성축제,46,810,EV,EV01,EV010400,,
전라남도 강진군 강진읍 생태공원길 47,,59241,A02,A0207,A02070200,2435280,15,2.0161E+13,20251025,20251102,http://tong.visitkorea.or.kr/cms/resource/70/3017570_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/70/3017570_image3_1.JPG,Type3,126.773475,34.62054282,6,2.0251E+13,38,1,061-430-3352,강진만 춤추는 갈대축제,46,810,EV,EV01,EV010200,선택안함,선택안함
전라남도 강진군 강진읍 고성길 174,,59227,A02,A0207,A02070200,3304617,15,2.02406E+13,20250627,20250629,http://tong.visitkorea.or.kr/cms/resource/36/3492636_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/3492636_image3_1.jpg,Type3,126.762453,34.65225574,6,2.02505E+13,38,1,061-430-3354,강진수국길축제,46,810,EV,EV01,EV010500,선택안함,선택안함
인천광역시 강화군 길상면 초지리,453 강화 길상낚시터,23049,A02,A0207,A02070200,3474530,15,2.02502E+13,20241225,20250328,http://tong.visitkorea.or.kr/cms/resource/28/3474528_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/3474528_image3_1.jpg,Type3,126.5210719,37.63627133,6,2.02503E+13,2,1,032-937-6497,강화 길상 빙어 축제,28,710,EV,EV01,EV010600,,
인천광역시 강화군 강화읍 관청리,405 강화읍 용흥궁공원,23031,A02,A0207,A02070200,3530308,15,2.02509E+13,20250905,20250906,http://tong.visitkorea.or.kr/cms/resource/91/3530291_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/3530291_image3_1.jpg,Type3,126.4854137,37.74878537,6,2.02509E+13,2,1,032-930-3563,강화 별밤 야행,28,710,EV,EV01,EV010400,,
인천광역시 강화군 송해면 전망대로423번길 161,양오낚시터,23013,A02,A0207,A02070200,2643189,15,2.02001E+13,20241221,20250303,http://tong.visitkorea.or.kr/cms/resource/08/3051908_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/3051908_image3_1.jpg,Type3,126.4438578,37.80018419,6,2.02503E+13,2,1,010-4075-5851,강화 양오 빙어축제,28,710,EV,EV01,EV010600,선택안함,선택안함
인천광역시 강화군 중앙로787번길 8-1 관리소매점,강화도송어빙어축제장 내,23055,A02,A0207,A02070200,2938676,15,2.02212E+13,20241225,20250303,http://tong.visitkorea.or.kr/cms/resource/88/3470688_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/3470688_image3_1.jpg,Type3,126.4312618,37.69895967,6,2.02501E+13,2,1,010-7617-6606,강화도왕방마을얼음축제,28,710,EV,EV01,EV010600,선택안함,선택안함
전라남도 여수시 삼산면 삼호교길 50,,59790,A02,A0207,A02070200,1340294,15,2.01107E+13,20250801,20250802,http://tong.visitkorea.or.kr/cms/resource/42/3513042_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/42/3513042_image3_1.jpeg,Type3,127.3099203,34.02449054,6,2.02507E+13,38,13,061-659-4744,거문도백도 은빛바다체험행사,46,130,EV,EV01,EV010200,선택안함,선택안함
경상남도 거제시 옥포로2길 14 (옥포동),옥포수변공원,53231,A02,A0207,A02070200,1327778,15,2.01107E+13,20250613,20250615,http://tong.visitkorea.or.kr/cms/resource/59/3492659_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/3492659_image3_1.jpg,Type3,128.6966194,34.89053479,6,2.02506E+13,36,1,055-639-3393,거제 옥포대첩 축제,48,310,EV,EV01,EV010200,선택안함,선택안함
경상남도 거제시 덕포5길 32,(덕포동),53213,A02,A0207,A02070200,667236,15,2.00812E+13,20250111,20250111,http://tong.visitkorea.or.kr/cms/resource/51/3473051_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/3473051_image3_1.jpg,Type3,128.7107009,34.9116688,6,2.02506E+13,36,1,055-687-4580,거제도 국제펭귄수영축제,48,310,EV,EV01,EV010200,,
경상남도 거제시 일운면 지세포해안로 15-44,거제해양레포츠센터 일원,53326,A02,A0207,A02070200,589170,15,2.00807E+13,20250726,20250727,http://tong.visitkorea.or.kr/cms/resource/23/2992923_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2992923_image3_1.jpg,Type3,128.7012592,34.83922394,6,2.02507E+13,36,1,055-639-8193,거제여름해양축제,48,310,EV,EV01,EV010200,취소,선택안함
서울특별시 중구 청계천로 40 (다동),서울 하이커 그라운드,4521,A02,A0207,A02070200,3360113,15,2.02409E+13,20250905,20250914,http://tong.visitkorea.or.kr/cms/resource/32/3530432_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/32/3530432_image3_1.png,Type3,126.9816429,37.56858184,6,2.02509E+13,1,24,02-554-6763,게임문화축제,11,140,EV,EV01,EV010600,선택안함,선택안함
충청남도 공주시 금벽로 368 (신관동),,32573,A02,A0207,A02070200,2531702,15,2.01801E+13,20250116,20250120,http://tong.visitkorea.or.kr/cms/resource/60/3472360_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/3472360_image3_1.jpg,Type3,127.1275545,36.47029179,6,2.02502E+13,34,1,041-840-8401,겨울공주 군밤축제,44,150,EV,EV01,EV010300,선택안함,선택안함
경기도 양평군 양평읍 마유산로 11,양평군 전역,12546,A02,A0207,A02070200,3049823,15,2.02311E+13,20241201,20250131,http://tong.visitkorea.or.kr/cms/resource/66/3423766_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/3423766_image3_1.jpg,Type3,127.4857713,37.49677987,6,2.02501E+13,31,19,031-770-1072,겨울엔 양평,41,830,EV,EV01,EV010500,선택안함,선택안함
서울특별시 강서구 양천로 291 (마곡동),,7520,A02,A0207,A02070200,2490376,15,2.01704E+13,20250510,20250510,http://tong.visitkorea.or.kr/cms/resource/49/3495349_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/3495349_image3_1.jpg,Type3,126.8366643,37.57223438,6,2.02506E+13,1,4,"02-2659-2207, 02-2600-6581",겸재문화예술제,11,500,EV,EV01,EV010200,선택안함,선택안함
경기도 시흥시 거북섬둘레길 42 (정왕동),,15119,A02,A0208,A02081300,3512510,15,2.02507E+13,20250815,20250816,http://tong.visitkorea.or.kr/cms/resource/09/3512509_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/3512509_image3_1.jpg,Type3,126.6806994,37.3241521,6,2.02507E+13,31,14,031-956-8318,"경기도 문화사계 ""여름"" 경기바다 드론쇼",41,390,EV,EV03,EV030400,선택안함,선택안함
경기도 수원시 영통구 광교중앙로 140 (하동),수원컨벤션센터 제2전시장,16514,A02,A0207,A02070200,3486730,15,2.02504E+13,20250621,20250621,http://tong.visitkorea.or.kr/cms/resource/23/3486723_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/3486723_image3_1.jpg,Type3,127.0594632,37.28587992,6,2.02504E+13,31,13,031-774-3312,경기미 김밥페스타,41,117,EV,EV01,EV010200,,
경기도 수원시 영통구 광교중앙로 140 (하동),,16514,A02,A0208,A02080600,3368470,15,2.02409E+13,20251025,20251026,http://tong.visitkorea.or.kr/cms/resource/35/3531335_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/3531335_image3_1.jpg,Type3,127.0594632,37.28587992,6,2.02509E+13,31,13,031-774-3312,경기미디저트페스타,41,117,EV,EV03,EV030200,선택안함,선택안함
서울특별시 종로구 사직로 161 (세종로),경복궁,3045,A02,A0207,A02070200,2648460,15,2.02002E+13,20251015,20251102,http://tong.visitkorea.or.kr/cms/resource/24/3349624_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/24/3349624_image3_1.png,Type3,126.9767376,37.57608366,6,2.02509E+13,1,23,1522-2295,경복궁 별빛야행,11,110,EV,EV01,EV010200,선택안함,선택안함
경상북도 안동시 영가로 16 (동부동),,36705,A02,A0208,A02081300,2867141,15,2.0221E+13,20250919,20250920,http://tong.visitkorea.or.kr/cms/resource/61/3516661_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/3516661_image3_1.jpg,Type3,128.7335002,36.56467971,6,2.02508E+13,35,11,054-840-7044,경북 K-스토리 페스티벌,47,170,EV,EV03,EV030400,선택안함,선택안함
서울특별시 중구 태평로1가,1 서울 청계광장,4524,A02,A0207,A02070200,3495363,15,2.02506E+13,20250620,20250622,http://tong.visitkorea.or.kr/cms/resource/48/3495348_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/3495348_image3_1.jpg,Type3,126.9777682,37.5692567,6,2.02506E+13,1,24,02-797-8760,경북 WOW(와)보이소,11,140,EV,EV01,EV010200,,
경상북도 영주시 풍기읍 성내리,240-1,36030,A02,A0207,A02070100,506766,15,2.00803E+13,20251018,20251026,http://tong.visitkorea.or.kr/cms/resource/57/3380757_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/3380757_image3_1.jpg,Type3,128.5215435,36.86876594,6,2.02509E+13,35,14,054-635-0020,경북영주 풍기인삼축제,47,210,EV,EV01,EV010100,선택안함,선택안함
경상북도 경산시 와촌면 대한리,537 갓바위 주차장 ·덕촌리 38-2 와촌면민운동장,38400,A02,A0207,A02070200,140897,15,2.00509E+13,20250926,20250928,http://tong.visitkorea.or.kr/cms/resource/52/3537852_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/3537852_image3_1.jpg,Type3,128.7495653,35.98504592,6,2.02509E+13,35,1,053-819-0332,경산 갓바위소원성취축제,47,290,EV,EV01,EV010200,선택안함,선택안함
경상북도 경산시 남매로 100 (상방동),,38637,A02,A0207,A02070200,2759249,15,2.0211E+13,20251017,20251019,http://tong.visitkorea.or.kr/cms/resource/89/3545089_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/3545089_image3_1.jpg,Type3,128.743401,35.81991728,6,2.02509E+13,35,1,"053-819-0334, 0338",경산 대추축제 & 농산물 한마당,47,290,EV,EV01,EV010300,선택안함,선택안함
경상북도 경산시 자인면 계정길 68,계정숲,38549,A02,A0207,A02070200,1642876,15,2.01206E+13,20250530,20250601,http://tong.visitkorea.or.kr/cms/resource/99/2718299_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/2718299_image3_1.jpg,Type3,128.8190222,35.81788835,6,2.02505E+13,35,1,053-856-5765,경산자인단오제,47,290,EV,EV01,EV010400,선택안함,선택안함
경상북도 경산시 압량읍 압독1로 100-5,더웨이투커피 외 19개소,38539,A02,A0207,A02070200,3497502,15,2.02506E+13,20250620,20250704,http://tong.visitkorea.or.kr/cms/resource/85/3497485_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/85/3497485_image3_1.png,Type3,128.7741061,35.84100713,6,2.02506E+13,35,1,053-819-0332,경산카페축제,47,290,EV,EV01,EV010600,,
경상북도 경주시 황남동,,38164,A02,A0207,A02070200,2485128,15,2.01703E+13,20250404,20250406,http://tong.visitkorea.or.kr/cms/resource/14/3482114_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/3482114_image3_1.jpg,Type3,129.2133231,35.840196,6,2.02503E+13,35,2,054-776-5267,경주 대릉원돌담길 축제,47,130,EV,EV01,EV010500,선택안함,선택안함
경상북도 경주시 교동,71 경주교촌한옥마을,38170,A02,A0207,A02070200,2614760,15,2.01908E+13,20250926,20250928,http://tong.visitkorea.or.kr/cms/resource/05/3529605_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/05/3529605_image3_1.JPG,Type3,129.2157426,35.83138037,6,2.02508E+13,35,2,054-743-7182,경주국가유산야행,47,130,EV,EV01,EV010400,선택안함,선택안함
서울특별시 노원구 동일로 지하1074 (공릉동),공릉역 2번 출구 일대,1840,A02,A0207,A02070200,3114588,15,2.02404E+13,20250607,20250608,http://tong.visitkorea.or.kr/cms/resource/14/3490514_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/3490514_image3_1.jpg,Type3,127.0730218,37.62552964,6,2.02505E+13,1,9,02-976-9110<br>02-2116-3488,경춘선 공릉숲길 커피축제,11,350,EV,EV01,EV010200,선택안함,선택안함
인천광역시 계양구 경명대로 지하1089 (계산동),,21056,A02,A0207,A02070200,3399342,15,2.0241E+13,20240923,20250228,http://tong.visitkorea.or.kr/cms/resource/07/3399307_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/3399307_image3_1.jpg,Type3,126.7279723,37.54334692,6,2.02501E+13,2,2,032-450-4104,계양 빛축제,28,245,EV,EV01,EV010500,,
인천광역시 계양구 아라로 548 (장기동),계양아라온 황어광장,21005,A02,A0207,A02070200,3329992,15,2.02406E+13,20250726,20250727,http://tong.visitkorea.or.kr/cms/resource/69/3539269_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/3539269_image3_1.jpg,Type3,126.7395954,37.5746907,6,2.02509E+13,2,2,032-450-4103,계양아라온워터축제,28,245,EV,EV01,EV010600,선택안함,선택안함
강원특별자치도 평창군 방림면 고원로 683,,25364,A02,A0208,A02081000,3383902,15,2.0241E+13,20250524,20250823,http://tong.visitkorea.or.kr/cms/resource/28/3488128_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/3488128_image3_1.jpg,Type3,128.3014544,37.45240296,6,2.02504E+13,32,15,010-2814-1055,계촌 휴休콘서트,51,760,EV,EV02,EV020700,선택안함,선택안함
강원특별자치도 원주시 호저면 호저로 1277-43,양잠테마단지 내,26302,A02,A0207,A02070200,2517217,15,2.01711E+13,20241123,20250202,http://tong.visitkorea.or.kr/cms/resource/50/3026350_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/3026350_image3_1.jpg,Type3,127.9154662,37.48002308,6,2.02411E+13,32,9,033-766-0207,고니골빛축제,51,130,EV,EV01,EV010200,선택안함,선택안함
경상북도 고령군 대가야로 1216 대가야역사테마관광지,,40140,A02,A0207,A02070100,2667017,15,2.02008E+13,20250328,20250330,http://tong.visitkorea.or.kr/cms/resource/25/3476725_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/3476725_image3_1.jpg,Type3,128.2599602,35.72125291,6,2.02505E+13,35,3,054-950-6427,고령대가야축제,47,830,EV,EV01,EV010100,취소,선택안함
서울특별시 강남구 영동대로 513 (삼성동),코엑스 동측광장,6164,A02,A0207,A02070200,3524418,15,2.02508E+13,20250817,20250831,http://tong.visitkorea.or.kr/cms/resource/73/3524373_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/3524373_image3_1.jpg,Type3,127.059218,37.5119176,6,2.02508E+13,1,1,070-7734-7796,고메 잇 강남 서울야장,11,680,EV,EV01,EV010600,,
강원특별자치도 고성군 거진읍 대대리,11리 해변,24725,A02,A0207,A02070200,421977,15,2.00801E+13,20251017,20251019,http://tong.visitkorea.or.kr/cms/resource/89/3516189_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/3516189_image3_1.jpg,Type3,128.4550075,38.44224094,6,2.02508E+13,32,2,"033-681-0121,0122",고성명태축제,51,820,EV,EV01,EV010200,선택안함,선택안함
광주광역시 남구 고싸움로 2,(칠석동),61758,A02,A0207,A02070200,292950,15,2.00602E+13,20250207,20250209,http://tong.visitkorea.or.kr/cms/resource/64/3467664_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/64/3467664_image3_1.JPG,Type3,126.8371306,35.06962946,6,2.02501E+13,5,2,062-374-3839,고싸움놀이축제,29,155,EV,EV01,EV010200,선택안함,선택안함
