contentid,contenttypeid,subnum,subcontentid,subname,subdetailoverview,subdetailimg,subdetailalt
1968096,25,0,128171,통일전망대(고성),"휴전선과 남방한계선이 만나는 해발 70m 고지의 통일전망대에 서면 금강산의 구선봉과 해금강이 지척에 보이고 맑은 날에는 옥녀봉, 채하봉, 일출봉 등을 볼 수 있다. 발아래의 휴전선철책을 사이에 두고 대치해 있는 최전방 초소는 남북한의 긴장감을 느끼게 한다. 연간 150만 명 이상의 관광객이 찾는 고성의 대표적인 관광지인 이곳엔 북녘에 두고 온 산하와 가족을 그리는 실향민과 통일을 염원하는 이들을 위한 성모상, 미륵불상, 전진철탑 등 종교적인 부대시설과 장갑차, 탱크, 비행기 등 안보 교육용 전시물이 있다. 발아래에는 2004년 12월 개통된 동해선 남북연결도로로 금강산육로 관광이 이루어지는 모습을 볼 수 있다.",,통일전망대_01
1968096,25,1,126793,화진포(화진포호),"화진포는 동해와 연접해 자연풍광이 수려하고 면적 72만평에 달하는 광활한 호수 주위에 울창한 송림이 병풍처럼 펼쳐진 국내 최고의 석호이다. 수 만년 동안 조개껍질과 바위가 부서져 만들어진 화진포의 모래는 모나즈성분으로 이중환의 택리지에 한자의 울 '명'자와 모래'사'자를 써 '명사'라고 기록되어 있고, 해변은 수심이 얕고, 물이 맑을 뿐만 아니라 금구도(섬)가 절경을 이루어 해수욕장으로 널리 알려져 있다. 겨울에는 천연기념물 제201호인 고니 등 수많은 철새들이 찾아와 장관을 이룬다. 새하얀 고니떼가 노니는 모습은 '백조의 호수'를 연상케 한다. 화진포는 오염되지 않은 깨끗한 물과 갈대 숲 속에 풍부한 먹이가 있어 철새들에게 알맞은 휴식처가 된다.",http://tong.visitkorea.or.kr/cms/resource/10/1813110_image2_1.jpg,강원도_고성_화진포(바다낚시)03
1968096,25,2,127449,진부령 흘리마을,"인제군에서 고성군으로 넘어가려면 미시령(767m)을 넘거나 진부령 (529m)을 넘어야 한다. 인제군 용대삼거리에서 46번 국도를 타고 용대자연휴양림 입구를 지나 북으로 올라가면 알프스리조트 입구와 진부령고개가 나온다. 진부령 마을관리휴양지는 46호선 국도변에 위치한다. 향로봉 산맥인 칠절봉과 둥글봉에서 발원한 오염되지 않은 맑은 물이 흐르는 계곡으로 관광객을 사로잡고 있다. 여행객들은 이곳 마을에서 생산되는 산채, 옥수수, 감자, 약초, 토종꿀 등을 산지에서 직접 구입할 수 있으며, 토종닭을 비롯한 토속음식이 관광객들로부터 좋은 반응을 얻고 있다.",http://tong.visitkorea.or.kr/cms/resource/01/217601_image2_1.jpg,진부령 마을관리유원지_03
1968096,25,3,128775,백담사 만해마을,"한국문학사의 대표적 시인이자 불교의 대선사, 민족운동가로 일제 강점기 암흑시대 겨레의 가슴에 영원히 꺼지지 않을 민족혼을 불어 넣어 주신 만해 한용운 선생의 문학성과 자유사상, 진보사상, 민족사상을 높이 기리고 선양하기 위한 실천의 장으로 설립되었다.",,백담사 만해마을_14
1979622,25,0,762715,송지호 오토캠핑장,"깨끗한 백사장과 얕은 수심으로 해수욕장의 최적지일 뿐만 아니라 앞에는 경관이 수려한 죽도가 위치하고 있다. 가족, 친구와 함께 캠핑하는 즐거움을 만끽 할 수 있으며, 단체 캠핑도 가능하다. 또한 인근에는 해양심층수연구단지, 철새관망타워가 위치해 있다.",http://tong.visitkorea.or.kr/cms/resource/22/1813522_image2_1.jpg,강원도_고성_송지호오토캠핑장02
1979622,25,1,125804,고성 왕곡마을,송지호 북쪽에 들어선 왕곡 전통마을은 강원도 북부해안 지방으로 피서여행을 갈 때 꼭 한번 들러볼만한 곳이다. 해변과의 거리는 불과 1.5km인데 묘하게도 마을에서는 파도소리를 들을 수 없다. 다섯 봉우리로 이루어진 산들이 마을 둘레를 에워싸고 있기 때문이다. 이처럼 산들이 에워싸고 있는 덕에 한국전쟁 때에도 대부분의 집들은 폭격을 피할 수 있었다. 그리하여 오늘날까지도 고택들이 고스란히 보존되어 전통마을 분위기를 잘 간직하게 된 것이다. 안동 하회마을이나 순천 낙안읍성 마을처럼 규모가 큰 것도 아니고 번듯한 외관을 갖춘 집들이 많은 것도 아니지만 일단 마을 안에 들어서면 과거로의 시간 여행에 빠져든 듯한 느낌이 든다.,http://tong.visitkorea.or.kr/cms/resource/16/175016_image2_1.jpg,왕곡마을_메인
1979622,25,2,126787,공현진1리해변,"국도 7호선상에 위치해 교통이 편리한 공현진1리 해수욕장이다. 깨끗한 해안선과 12,000여 평의 백사장을 갖춘 이 해수욕장은 모래가 곱고 수심이 얕아서 해수욕장으로서의 입지조건이 좋은 편이다. 관할군부대의 협조 아래 한시적으로 운영되며 해수욕장의 관리는 마을운영위원회에서 맡고 있다. 그리고 가까이에 공현진항이 있어 싱싱한 활어회를 맛볼 수 있는 곳이기도 하다. 조용하면서도 편의시설이 잘 갖춰진 이 해수욕장에는 주로 가족단위 피서객들이 많이 찾는데, 한 번 찾은 피서객은 해마다 다시 찾는 경우도 많다.",http://tong.visitkorea.or.kr/cms/resource/79/175279_image2_1.jpg,공현진1리간이해수욕장_01
1979622,25,3,127570,송지호,"송지호는 호수 둘레가 4km인 동해안의 청정한 석호로 1977년에 주변이 국민관광지로 지정되어 자연호수와 죽도가 어우러져 경관이 수려하다. 특히 송지호 해수욕장과 왕곡마을, 해양심층수단지, 철새관망쉼터 등 주변 연계 관광여건이 매우 좋고 오호리항 포구에서 싱싱한 활어회를 맛볼 수 있어 테마여행지로 각광을 받고 있다. 겨울철에는 고니 등 철새들이 많이 찾는 곳이며 재첩이 채취되는 이곳에서는 채취시기에 소규모 마을축제로 ""송지호 재첩잡이체험축제""를 개최하여 관광객에게 재첩을 직접 채취할 수 있는 기회를 제공하기도 한다.",,송지호_06
1979622,25,4,128603,오호어촌체험마을,"오호 마을 인근에는 청명한 물빛과 고운 모래로 유명한 송지호 해수욕장이 위치해 있다. 송지호 해주욕장 바다 전면에는 대나무와 기암괴석으로 이루어져 경관이 수려한 죽도가 가로놓여 있어 천혜의 자연경관, 또한 수심이 얕아 가족단위의 관광객들에게 각광받는 장소이다. 2003년 어촌체험마을로 선정된 오호마을에서는 인근지역의 수려한 볼거리와 함께 다양한 체험 거리들로 관광객을 맞이하고 있다.",http://tong.visitkorea.or.kr/cms/resource/18/863118_image2_1.jpg,오호리어촌체험마을_01
2514914,25,0,2514838,바우지움,조각미술관 바우지움은 조각가 김명숙의 사립 미술관이다. 조각가 김명숙의 작품 및 한국 근·현대 조각 작품들을 감상할 수 있다.,,
2514914,25,1,264466,김하인아트홀,"김하인 아트홀은 지하1층, 지상 3층으로 해변도서관, 일반인과 학생을 위한 문학강좌 교실, 작가와 만남의 방, 대형 스크린과 영상시설이 준비된 영화인의 방 등이 마련 되어 있다.",http://tong.visitkorea.or.kr/cms/resource/82/2372082_image2_1.JPG,김하인아트홀 국화꽃향기_1
2514914,25,2,126795,어명기 고택,현 주인 어명기의 2대조 어용수가 1860년대에 사들인 집이다. 약 400년 전에 이 터에 처음 자리잡은 집으로 화재로 불탄 것을 영조 26년(1750)경에 어태준이 옛 모습대로 복원하였다고 한다.,,
2514914,25,3,125804,왕곡마을,송지호 북쪽에 들어선 왕곡 전통마을은 강원도 북부해안 지방으로 피서여행을 갈 때 꼭 한번 들러볼만한 곳이다.,http://tong.visitkorea.or.kr/cms/resource/20/1581420_image2_1.jpg,고성왕곡마을(한옥체험)
2514924,25,0,2514802,통일안보공원,한국전쟁 직전 북한 무장 게릴라의 남침을 저지하다가 희생된 호림유격대를 기리기 위해 조성했다. 전적비 상단에 횃불을 높이 든 유격대원 동상이 불굴의 기상 을 보여준다.,,
2514924,25,1,128171,고성 통일전망타워,"휴전선과 남방한계선이 만나는 해발 70m 고지의 통일전망대에 서면 금강산의 구선봉과 해금강이 지척에 보이고 맑은 날에는 옥녀봉, 채하봉, 일출봉 등을 볼 수 있다.",,강원_고성_통일전망대06
2514924,25,2,736620,6.25전쟁체험전시관,통일전망대에서는 동족상잔의 비극을 교훈삼고 민족화합과 조국의 평화통일을 염원하기 위해 6.25전쟁을 체험할 수 있는 6.25전쟁체험전시관을 개관·운영하고 있다.,,강원도_고성_6.25 전쟁체험전시관02
2514924,25,3,778140,고성 DMZ박물관,"지구 상에 남아 있는 유일한 분단국의 상징인 DMZ를 통하여 지난 1950년 한국전쟁 발발 전후 모습과, 휴전협정으로 탄생한 휴전선이 갖는 역사적인 의미, 이로 인해 나타난 동족 간 이산의 아픔, 지속되는 군사적인 충돌, 60여 년간 사람의 손길이 닿지 않아 원형 그대로 보존되어 있는 생태환경 등을 전시물이나 영상물로 재구성하였다.",,고성 DMZ박물관 (77)
2514924,25,4,1922074,화진포역사안보전시관,"화진포역사안보전시관(김일성·이기붕·이승만 별장)은 울창한 소나무 숲과 넓은 호수, 명사십리와 청정바다가 한데 어우러진 빼어난 자연경관을 자랑하는 고성의 대표적인 관광지다.",,화진포관광지역사안보전시관
2514954,25,0,2514804,진부령미술관,고성군에서 운영하는 진부령미술관은 동해의 수려한 경관이 한눈에 보이는 진부령(529m) 정상에 우리나라에서 가장 높은 미술관이다.,,
2514954,25,1,2514792,하늬라벤더팜,‘라벤더 전도사’로 불리는 하덕호 대표가 지난 2006년부터 3만 3000여 ㎡에 라벤더를 심어 조성한 곳이다.,,
2514954,25,2,127228,건봉사,건봉사는 진부령과 거진읍 중간에 위치한 고찰이다. 인적이 뜸해 한적한 고찰이지만 여름이면 숲이 무성하고 가을이면 단풍이 아름답다.,,강원_고성_건봉사02
2514956,25,0,129591,이승만별장(고성),"강원도 고성군 화진포에는 세 명의 옛정치인의 별장인 김일성 별장, 이승만 별장, 이기붕 별장이 나란히 놓여 있다.",,이승만대통령별장_05
2514956,25,1,2406449,화진포생태박물관,"고성화진포국민관광지 내에 위치한 화진포 생태박물관은 층별 3개 전시관에서 화진포호수와 관련한 생태계를 관찰, 학습할 수 있다.",http://tong.visitkorea.or.kr/cms/resource/15/2405215_image2_1.jpg,관광지_강원_화진포생태박물관
2514956,25,2,529493,화진포의성(김일성별장),"화진포의 성(김일성별장)이 세워진 연도는 정확히 알려져 있지 않다. 다만 김일성은 1948년부터 50년까지 처 김정숙, 아들 김정일, 딸 김경희 등 가족과 함께 하계휴양지로 화진포를 찾았다.",http://tong.visitkorea.or.kr/cms/resource/33/571633_image2_1.jpg,화진포의 성(김일성별장)_04
2514959,25,0,125804,고성 왕곡마을,송지호 북쪽에 들어선 왕곡 전통마을은 강원도 북부해안 지방으로 피서여행을 갈 때 꼭 한번 들러볼만한 곳이다. 해변과의 거리는 불과 1.5km인데 묘하게도 마을에서는 파도소리를 들을 수 없다.,http://tong.visitkorea.or.kr/cms/resource/16/175016_image2_1.jpg,왕곡마을_메인
2514959,25,1,2514820,가진항(군함도),왕곡마을에서 영화 〈군함도〉를 촬영한 가진항까지 4km가 되지 않는다.,,
2514959,25,2,2514834,"죽정분교(구,죽정초등학교)",(구)죽정초등학교는 영화 〈몽당분교 올림픽〉 속 분교 처럼 아이들이 떠나 폐교된 곳이다.,,
2514959,25,3,125706,화진포 (강원평화지역 국가지질공원),공식 해수욕장으로는 동해안에서 가장 북쪽에 자리잡은 해수욕장이다.,http://tong.visitkorea.or.kr/cms/resource/87/217287_image2_1.jpg,화진포해수욕장_07
2514959,25,4,2514846,대진항,화진포해변에서 초도항과 초도해수욕장을 지나 북쪽으로 2km 정도 가면 우리나라에서 가장 북쪽에 있는 대진항을 만난다.,,
2514964,25,0,127587,삼포해변,속초에서 북쪽으로 12km 떨어져 있는 삼포해변은 해당화와 울창한 소나무 솔숲이 유명하다.,http://tong.visitkorea.or.kr/cms/resource/13/1581413_image2_1.jpg,삼포문암관광지삼포해수욕장
2514964,25,1,2514847,고성 문암리 유적,문암리 선사유적은 고성 여행지 중 가장 정적인 곳이다. 푸른 초목이 덮인 땅 위로 눈부신 햇살이 쏟아진다.,,
2514964,25,2,925616,송지호관망타워,"지상 4층, 면적 278.47㎡ 규모의 관망타워 형태로 건립하였으며, 송지호에 날아드는 철새들을 관찰할 수 있어 훌륭한 자연생태학습관으로 사용되고 있다.",,고성 송지호철새관망타워 (20)
2514964,25,3,2514820,가진항,왕곡마을에서 영화 〈군함도〉를 촬영한 가진항까지 4km가 되지 않는다.,,
2514964,25,4,2514832,청보횟집,바닷가 바로 앞에 위치한 청보횟집이다. 최근 리모델링을 하여 깨끗하며 물회를 맛보러 오는 손님들이 주를 이룬다.,,
2568614,25,0,2570207,능파대,문암해변 근처에 위치한 능파대는 바위의 모양이 구멍이 움푹 패이고 뒤죽박죽의 형상으로 기이하면서도 신비롭다. 기반암인 화강암에 타포니군이 잘 발달된 경승지로 사시사철 배낚시가 가능하여 낚시꾼들에게 인기가 많다.,,추암해변 능파대
2568614,25,1,128118,대명리조트 델피노(설악) 아쿠아월드,"아쿠아월드 설악은 기존의 야외수영장과 새로이 선보이는 실내 워터파크 및 노천탕과 사우나 시설, 썬텐시설, 등으로 구성된 6,611m²(2,000여 평)의 물놀이 테마파크이다.",http://tong.visitkorea.or.kr/cms/resource/99/1335499_image2_1.jpg,강원 고성군_대명리조트 설악_전경_1
2568614,25,2,128171,통일전망대(고성),"휴전선과 남방한계선이 만나는 해발 70m 고지의 통일전망대에 서면 금강산의 구선봉과 해금강이 지척에 보이고 맑은 날에는 옥녀봉, 채하봉, 일출봉 등을 볼 수 있다.",,강원_고성_통일전망대06
2568614,25,3,778140,고성 DMZ박물관,"지구 상에 남아 있는 유일한 분단국의 상징인 DMZ를 통하여 지난 1950년 한국전쟁 발발 전후 모습과, 휴전협정으로 탄생한 휴전선이 갖는 역사적인 의미, 이로 인해 나타난 동족 간 이산의 아픔, 지속되는 군사적인 충돌, 60여 년간 사람의 손길이 닿지 않아 원형 그대로 보존되어 있는 생태환경 등을 전시물이나 영상물로 재구성하였다.",,
2568614,25,4,2569453,카페 테일(피크닉바구니),강원도 고성에 위치한 테일은 피크닉매트를 제공하여 바다를 바로 마주하며 차 한잔의 여유와 색다른 즐거움을 느낄 수 있는 곳이다. 사계절의 바다를 바로 눈앞에서 감상할 수 있으며 애견 동반도 가능한 이색카페이다.,,
2569553,25,0,125804,고성 왕곡마을,송지호 북쪽에 들어선 왕곡 전통마을은 강원도 북부해안 지방으로 피서여행을 갈 때 꼭 한번 들러볼만한 곳이다. 해변과의 거리는 불과 1.5km인데 묘하게도 마을에서는 파도소리를 들을 수 없다.,http://tong.visitkorea.or.kr/cms/resource/16/175016_image2_1.jpg,왕곡마을_메인
2569553,25,1,762715,송지호 오토캠핑장,"깨끗한 백사장과 얕은 수심으로 해수욕장의 최적지일 뿐만 아니라 앞에는 경관이 수려한 죽도가 위치하고 있다. 가족, 친구와 함께 캠핑하는 즐거움을 만끽할 수 있으며, 단체 캠핑도 가능하다. 또한 인근에는 해양심층수연구단지, 철새관망타워가 위치해 있다.",http://tong.visitkorea.or.kr/cms/resource/22/1813522_image2_1.jpg,강원도_고성_송지호오토캠핑장02
2569553,25,2,925616,송지호관망타워,송지호 인근에 위치하고 있는 4층 규모의 송지호철새관망타워는 송지호에서 겨울을 나기 위해 날아드는 철새들의 군무를 한눈에 바라볼 수 있는 곳이다.,http://tong.visitkorea.or.kr/cms/resource/14/2567714_image2_1.jpg,안보관광DB_고성_송지호철새관망타워01
2569553,25,3,2514792,하늬라벤더팜,'라벤더 전도사’로 불리는 하덕호 대표가 지난 2006년부터 3만 3000여 ㎡에 라벤더를 심어 조성한 곳이다. 경기도 의왕시에서 허브 숍을 운영하던 하 대표는 허브 제품의 원료가 되 는 라벤더를 직접 재배하려고 이곳에 정착했다.,,
2569693,25,0,128412,소똥령마을,"최고의 청정지역인 강원도 고성군 간성읍에 자리 잡고 있고, 진부령계곡의 맑고 깨끗한 계곡물이 마을을 돌아 흐르고 있으며, 금강산권역 향로봉자락의 산림이 울창하게 우거져 있는 전형적인 산골 농촌마을 이다.",http://tong.visitkorea.or.kr/cms/resource/13/2567713_image2_1.jpg,안보관광DB_고성_소똥령마을10
2569693,25,1,778140,DMZ박물관,DMZ박물관은 남북한 평화와 안정을 바라는 전 국민의 염원을 담아 동해안 최북단인 군사분계선과 근접한 민통선 내에 있다.,http://tong.visitkorea.or.kr/cms/resource/98/2567698_image2_1.jpg,안보관광DB_고성_DMZ박물관05
2569693,25,2,128171,통일전망대,"휴전선과 남방한계선이 만나는 해발 70m 고지의 통일전망대에 서면 금강산의 구선봉과 해금강이 지척에 보이고 맑은 날에는 옥녀봉, 채하봉, 일출봉 등을 볼 수 있다.",,강원_고성_통일전망대06
2569693,25,3,125796,청간정,"토성면 청간리 동해안 산록에 있는 청간정(淸澗亭)은 설악산 골짜기에서 흘러내리는 청간천과 만경청파가 넘실거리는 기암절벽 위에 팔각지붕의 중층누정으로 아담하게 세워져 있으며, 이곳에서 바라보는 일출과 월출시의 장엄함과, 밀려오는 파도가 마치 뭉게 구름이 일다가 안개처럼 사라져 가는 황홀경으로 관동팔경중 수일경으로 손꼽히고 있다.",http://tong.visitkorea.or.kr/cms/resource/54/2023654_image2_1.jpg,강원_고성_‘강원도 해수욕장 어디까지 가봤니?’ 고성 아야진해수욕장10
2569741,25,0,126793,화진포,화진포는 동해와 연접해 자연풍광이 수려하고 면적 72만평에 달하는 광활한 호수 주위에 울창한 송림이 병풍처럼 펼쳐진 국내 최고의 석호이다.,http://tong.visitkorea.or.kr/cms/resource/13/1813113_image2_1.jpg,강원도_고성_화진포(바다낚시)05
2569741,25,1,1922074,화진포역사안보전시관,"화진포역사안보전시관(김일성·이기붕·이승만 별장)은 울창한 소나무 숲과 넓은 호수, 명사십리와 청정바다가 한데 어우러진 빼어난 자연경관을 자랑하는 고성의 대표적인 관광지다.",,화진포관광지역사안보전시관
2569741,25,2,529493,화진포의 성(김일성별장),"화진포의 성에는 옛 별장의 모습을 담은 사진자료를 비롯해 김일성 가족이 사용했던 응접 세트 등 각종 유품이 모형물로 만들어져 전시 되었다. 해안가 산기슭에 위치한 화진포의 성은 광복 직후 건립, 한국전쟁 이전까지 김일성이 아들 김정일, 딸 김경희와 함께 수시로 이용했던 곳으로 본래 지하 1층, 지상 2층의 석조물이었으나 전쟁 중 크게 훼손되어 64년 육군이 본래 건물을 철거하고 지금의 1층 건물로 재건축 했었다.",http://tong.visitkorea.or.kr/cms/resource/33/571633_image2_1.jpg,화진포의 성(김일성별장)_04
2569741,25,3,128171,통일전망타워,"휴전선과 남방한계선이 만나는 해발 70m 고지의 통일전망대에 서면 금강산의 구선봉과 해금강이 지척에 보이고 맑은 날에는 옥녀봉, 채하봉, 일출봉 등을 볼 수 있다.",,
2569759,25,0,125752,화암사,화암사는 신평리의 세계잼버리장에서 1.5㎞ 떨어진 곳에 소재하고 있으며 신라 36대 혜공왕 5년에 진표율사에 의하여 창건되었다.,http://tong.visitkorea.or.kr/cms/resource/98/217598_image2_1.jpg,화암사_06
2569759,25,1,131169,강원도 세계잼버리 수련장,"고성군 토성면 인흥리에 위치한 세계 잼버리 수련장은 금강산 남쪽 제1봉이라 불리는 신선봉과 미시령, 울산바위, 설악산, 대청봉이 병풍처럼 둘러싸여 있고, 앞에는 동해바다가 시원하게 펼쳐진 곳이다.",,강원도세계잼버리수련장_02
2569759,25,2,136525,일성설악온천콘도&리조트,'산과 바다 그리고 자연의 아름다움이 이 한 곳에..'골짜기 가득 초목의 향기 속에서 삼림욕 한번 즐겨보자.,http://tong.visitkorea.or.kr/cms/resource/77/1581477_image2_1.jpg,일성설악콘도
