contentid,contenttypeid,heritage1,heritage2,heritage3,infocenter,opendate,restdate,expguide,expagerange,accomcount,useseason,usetime,parking,chkbabycarriage,chkpet,chkcreditcard
126789,12,0,0,0,033-680-3356,,연중무휴,,,,,- 매년 하절기 7~8월<br> - 일반해변06:00~24:00<br> - 마을관리해변 06:00~22:00,가능 (소형 약 15대),,,
126791,12,0,0,0,고성군 관광문화과 033-680-3368,,연중무휴,,,,,상시 개방,가능,,,
126792,12,0,0,0,간성향교 033-681-3364<br> 고성군 관광문화과 033-680-3367,,연중무휴,,,,,※ 자세한 사항은 전화문의 요망,가능,,,
126795,12,0,0,0,고성군 문화유산팀 033-680-3367,,연중무휴,,,,,상시 개방,가능,없음,,없음
127228,12,0,0,0,033-682-8100,,,,,,,상시 개방,가능,없음,,
127449,12,0,0,0,070-8849-7014,,연중무휴,[피망 따기]<br> - 매년 7월 10일~10월<br> - 체험비 : 2만원(2kg을 따서 가져갈수 있음),전 연령,,,09:00~18:00,가능<br>요금(무료),없음,,없음
127570,12,0,0,0,033-680-3337,,연중무휴,,,,,상시 개방,가능<br>요금 (무료),없음,,없음
127587,12,0,0,0,033-680-3356,,연중무휴,,,,,상시 개방,가능,,,
127873,12,0,0,0,,,,,,,,,"가능(소형 약 100대)<br>- 오토캠핑장내에는 사이트 하나에 차량 한대만 들어갈 수 있음<br>- 주차 공간이 협소하므로 캠핑 트레일러는 입차가 불가능<br>요금(1일 5,000원)",없음,,없음
127874,12,0,0,0,고성군청 관광과 033-680-3356,,연중무휴,,,,,- 일반해변 06:00~24:00<br> - 마을관리해변 06:00~22:00,가능,,,
128118,12,0,0,0,"033-639-3400, 1588-4888",,연중무휴,,,,,10:00~19:00 (실내존)<br> 10:00~18:00 (야외존)<br>,가능,없음,,가능
128171,12,0,0,0,고성 통일전망타워 033-682-0088,,연중무휴,,,,,[춘·추기(3월1일~7월14일 / 8월21일~10월31일)]<br> 09:00~16:50<br> [하절기(7월15일~8월20일)]<br> 09:00~17:50<br> [동절기(11월1일~2월28일)]<br> 09:00~15:50,가능,,,
128412,12,0,0,0,033-681-8126,,연중무휴,드럼통열차 / 나만의 컵 만들기 / 절편 떡 만들기 등,,,,상시 개방,가능,없음,,없음
128603,12,0,0,0,033-631-2552,,연중무휴,배낚시체험 / 후릿그물체험 / 통발체험,,,,체험 일정 및 비용은 전화 문의,가능,없음,,없음
128749,12,0,0,0,고성군 해양수산과 033-680-3411~4,,연중무휴,,,,,상시 개방,가능,,,
128750,12,0,0,0,,,,,,,,[하절기 (7~8월)]<br> - 일반해변 06:00~24:00<br> - 마을관리해변 06:00~22:00,가능,,,
129021,12,0,0,0,033-681-5281,,연중무휴,물고기맨손잡기체험 / 금구도 일주체험 / 통발채집체험 등,,,,상시 개방,가능,없음,,없음
129178,12,0,0,0,033-682-0172,,,,,,,- 하절기 06:00~18:00<br> - 동절기 07:00~17:00,가능,,,
129591,12,0,0,0,033-680-3677,,연중무휴,,,,,- 하절기 09:00~18:00 (입장마감 17:00)<br> - 동절기 09:00~17:30 (입장마감 16:30),가능<br>요금 (무료),,,
136082,12,0,0,0,033-633-9100,,,,,,,,,없음,,가능
136085,12,0,0,0,1666-1243,,,,,,,,,없음,,가능
136093,12,0,0,0,033-631-7601,,,,,,,,,없음,,가능
136525,12,0,0,0,통합 1566-8113<br />설악 033-636-0013,,,,,,,,,없음,,가능
2514792,12,0,0,0,033-681-0005,,매주 화요일 (※ 매년 6월 라벤더 시즌에는 휴무 없음),라벤더 심어가기 / 라벤더 향수 만들기 / 라벤더 향주머니 만들기 (※ 라벤더 축제 기간만 운영),,,,6월 기준 09:00~19:00 (입장마감 18:00)<br> ※ 계절별 상이하므로 홈페이지 참고,가능<br>요금 (무료),없음,,없음
2514802,12,0,0,0,033-682-0088,,연중무휴,,,,,- 춘·추기 (3월 1일~7월 14일 / 8월 21일~10월 31일) 09:00~16:50<br> - 하절기 (7월 15일~8월 20일) 09:00~17:50<br> - 동절기 (11월 1일~2월 28일) 09:00~15:50<br> ※ 안보공원에 최종출발 시간 전까지 도착해야 입장 가능<br> ※ 입장 마감 후 1시간까지 관람 가능,가능,없음,,가능
2514820,12,0,0,0,033-680-3411~4,,연중무휴,,,,,상시 개방,가능,,,
2514834,12,0,0,0,"033-680-3358, 033-680-3677",,,,,,,,가능<br>요금(무료),없음,없음,없음
2514846,12,0,0,0,033-680-3411~4,,연중무휴,,,,,상시 개방,가능,없음,,없음
2514847,12,0,0,0,고성군청 교육문화과 033-680-3367,,연중무휴,,,,,상시 개방,불가능,,,
2570207,12,0,0,0,033-680-3337,,연중무휴,,,,,상시 개방,불가능,없음,,없음
2616507,12,0,0,0,강원평화지역국가지질공원 033-249-3881,,연중무휴,,,,,상시 개방,,없음,,
2616535,12,0,0,0,033-460-2088,,연중무휴,,,,,,가능,없음,,없음
264466,12,0,0,0,033-636-5679,2008년10월,연중무휴,도자기 체험(핸드페인팅),,,,- 숙박시설 15:00~익일11:00<br> - 레스토랑 09:30~21:00<br> ※ 시설별 상이하므로 홈페이지 참조,가능,없음,,가능
2702191,12,0,0,0,고성군청 문화유산팀 033-680-3366,,연중무휴,,,,,상시 개방,가능,,,
2704849,12,0,0,0,고성군 해양수산과 033-680-3411~4,,연중무휴,,,,,상시 개방,가능,없음,,없음
2712573,12,0,0,0,033-680-3413,,연중무휴,,,,,상시 개방,가능,없음,,없음
2713385,12,0,0,0,033-680-3365,,연중무휴,,,,,상시 개방,,없음,,없음
2713396,12,0,0,0,고성군청 문화유산팀 033-680-3366,,연중무휴,,,,,"상시 개방<br> ※ 일반적으로 관람이 가능하나, 소유주의 개인적 사정으로 관람이 제한될 수도 있음",가능,없음,,없음
2714644,12,0,0,0,,,연중무휴,,,,,상시 개방,가능,없음,,없음
2715752,12,0,0,0,033-680-3677,,연중무휴,,,,7 월~8 월<br>※ 마을 상황에 따라 변동될 수 있음,상시 개방,,없음,,없음
2715935,12,0,0,0,고성군청 관광과 033-680-3363,,연중무휴,,,,,상시 개방,가능,없음,,없음
2720146,12,0,0,0,고성군 해양수산과 033-680-3411~4,,연중무휴,,,,,상시 개방,가능,없음,,없음
2724982,12,0,0,0,,2023-07-01,연중무휴,,,,,- 일반해변 06:00~24:00 <br> - 마을관리해변 06:00~22:00<br>,가능 (소형 430대),없음,,없음
2727740,12,0,0,0,033-680-3114,,연중무휴,,,,,상시 개방,가능,없음,,없음
2735355,12,0,0,0,033-680-3114,,연중무휴,,,,,상시 개방,가능,,,
2735384,12,0,0,0,고성군 해양수산과 033-680-3411~4,,연중무휴,,,,,상시 개방,가능,없음,,없음
2735605,12,0,0,0,고성군 해양수산과 033-680-3412,,연중무휴,,,,,상시 개방,가능,,,
2774697,12,0,0,0,033-631-2552,,연중무휴,,,,,상시 개방,가능,,,
2776858,12,0,0,0,033-632-0923,,연중무휴,,,,,상시 개방,가능,없음,,없음
2782552,12,0,0,0,033-680-3114,,연중무휴,,,,,상시 개방,가능,없음,,없음
2782561,12,0,0,0,033-680-3114,,연중무휴,,,,,상시 개방,가능,없음,,없음
2782565,12,0,0,0,033-680-3352,,연중무휴,,,,,상시 개방,가능,없음,,없음
2782901,12,0,0,0,고성군 관광문화과 033-680-4092,,연중무휴,,,,,- 4월~10월 07:00~18:00<br> - 11월~3월 08:00~17:00,가능,없음,,없음
2782911,12,0,0,0,033-680-3114,,,,,,,00:00 - 24:00,주차가능,없음,없음,없음
2790003,12,0,0,0,033-680-3677,,연중무휴,,,,,상시 개방,가능,없음,,없음
2929449,12,0,0,0,고성군청 관광과 033-680-3356<br> 현내면사무소 033-680-3632,,연중무휴,,,,,09:00~18:00,가능,,,
298103,12,0,0,0,033-681-2095,,연중무휴,,,,,상시 개방,가능,불가,,없음
3022435,12,0,0,0,,,연중무휴,,,,,08:00~17:00(11월~3월)<br> 06:00~20:00(4월~10월),가능,,,
3022828,12,0,0,0,033-680-3365,,연중무휴,없음,,,,제한없음,가능,,,
3112059,12,0,0,0,,,,투명카누 및 스노클링,,,,오전9시 ~오후 5시까지 (여름철 해수욕장 기간동안),,,,
3342050,12,0,0,0,033-636-2082,,"매주 월요일, 설·추석 당일<br>(단, 월요일이 공휴일인 경우 다음날 휴장)<br>※ 해수욕장 개장 시즌 휴무 없음",VR 시네마 / 열기구 / 헌터스 / 래프팅 / 워터바이크 / 롤러코스터 / 낚시 / 슬라이드 볼 풀 / 비트세이버,만 7세 이상,20명,,[하절기(3 월~10 월)]<br> - 영업시간 09:00~18:00<br> - 점검시간 12:00~13:00<br> - 오전 매표마감 11:30<br> - 오후 매표마감 17:30<br> [동절기(11 월~2 월)]<br> - 영업시간 09:00~17:00<br> - 점검시간 12:00~13:00<br> - 오전 매표마감 11:30<br> - 오후 매표마감 17:30,가능 (약 28대),,,가능
3521198,12,0,0,0,강원 고성군청 관광과 033-680-3362,,연중무휴,,,,,상시 개방,가능,,,
529493,12,0,0,0,033-680-3677,1999년 7월,연중무휴,,,,,- 하절기 09:00~17:00<br> - 동절기 09:00~16:30,가능,없음,,가능
529498,12,0,0,0,033-680-3469,,연중무휴,,,,,- 하절기 09:00~18:00 (매표 마감 17:00)<br> - 동절기 09:00~17:30 (매표 마감 16:30),가능 (소형 200대 / 대형 15대),,,
706243,12,0,0,0,033-630-6700~1,,,,,,,,,없음,,가능
925616,12,0,0,0,033-680-3556,2007년 07월 05일,연중무휴,,,200명,,[하절기] 09:00~18:00 (입장 마감 17:20)<br /> [동절기] 09:00~17:30 (입장 마감 16:40),가능,,,
951363,12,0,0,0,033-630-5362,,,,,,,,,없음,,가능
